dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
18/03/2021,18,3,2021,2814,33,Austria,AT,AUT,8901064,Europe
17/03/2021,17,3,2021,2487,23,Austria,AT,AUT,8901064,Europe
16/03/2021,16,3,2021,1910,22,Austria,AT,AUT,8901064,Europe
15/03/2021,15,3,2021,2664,17,Austria,AT,AUT,8901064,Europe
14/03/2021,14,3,2021,3325,17,Austria,AT,AUT,8901064,Europe
13/03/2021,13,3,2021,3009,23,Austria,AT,AUT,8901064,Europe
12/03/2021,12,3,2021,2847,18,Austria,AT,AUT,8901064,Europe
11/03/2021,11,3,2021,2847,12,Austria,AT,AUT,8901064,Europe
10/03/2021,10,3,2021,2194,21,Austria,AT,AUT,8901064,Europe
09/03/2021,9,3,2021,1965,23,Austria,AT,AUT,8901064,Europe
08/03/2021,8,3,2021,2281,9,Austria,AT,AUT,8901064,Europe
07/03/2021,7,3,2021,2846,16,Austria,AT,AUT,8901064,Europe
06/03/2021,6,3,2021,2319,24,Austria,AT,AUT,8901064,Europe
05/03/2021,5,3,2021,2691,19,Austria,AT,AUT,8901064,Europe
04/03/2021,4,3,2021,2497,14,Austria,AT,AUT,8901064,Europe
03/03/2021,3,3,2021,1926,17,Austria,AT,AUT,8901064,Europe
02/03/2021,2,3,2021,1148,25,Austria,AT,AUT,8901064,Europe
01/03/2021,1,3,2021,456112,8414,Austria,AT,AUT,8901064,Europe
29/04/2021,29,4,2021,0,0,Belgium,BE,BEL,11522440,Europe
28/04/2021,28,4,2021,2,10,Belgium,BE,BEL,11522440,Europe
27/04/2021,27,4,2021,1869,25,Belgium,BE,BEL,11522440,Europe
26/04/2021,26,4,2021,4079,44,Belgium,BE,BEL,11522440,Europe
25/04/2021,25,4,2021,1132,38,Belgium,BE,BEL,11522440,Europe
24/04/2021,24,4,2021,1885,35,Belgium,BE,BEL,11522440,Europe
23/04/2021,23,4,2021,3614,42,Belgium,BE,BEL,11522440,Europe
22/04/2021,22,4,2021,3791,42,Belgium,BE,BEL,11522440,Europe
21/04/2021,21,4,2021,4062,36,Belgium,BE,BEL,11522440,Europe
20/04/2021,20,4,2021,4450,36,Belgium,BE,BEL,11522440,Europe
19/04/2021,19,4,2021,5438,50,Belgium,BE,BEL,11522440,Europe
18/04/2021,18,4,2021,1302,34,Belgium,BE,BEL,11522440,Europe
17/04/2021,17,4,2021,2329,30,Belgium,BE,BEL,11522440,Europe
16/04/2021,16,4,2021,4023,45,Belgium,BE,BEL,11522440,Europe
15/04/2021,15,4,2021,3802,42,Belgium,BE,BEL,11522440,Europe
14/04/2021,14,4,2021,3909,39,Belgium,BE,BEL,11522440,Europe
13/04/2021,13,4,2021,4282,37,Belgium,BE,BEL,11522440,Europe
12/04/2021,12,4,2021,4721,43,Belgium,BE,BEL,11522440,Europe
11/04/2021,11,4,2021,1297,22,Belgium,BE,BEL,11522440,Europe
10/04/2021,10,4,2021,2348,46,Belgium,BE,BEL,11522440,Europe
09/04/2021,9,4,2021,4479,44,Belgium,BE,BEL,11522440,Europe
08/04/2021,8,4,2021,4452,43,Belgium,BE,BEL,11522440,Europe
07/04/2021,7,4,2021,4724,42,Belgium,BE,BEL,11522440,Europe
06/04/2021,6,4,2021,5190,45,Belgium,BE,BEL,11522440,Europe
05/04/2021,5,4,2021,1573,49,Belgium,BE,BEL,11522440,Europe
04/04/2021,4,4,2021,1472,36,Belgium,BE,BEL,11522440,Europe
03/04/2021,3,4,2021,2694,40,Belgium,BE,BEL,11522440,Europe
02/04/2021,2,4,2021,4879,46,Belgium,BE,BEL,11522440,Europe
01/04/2021,1,4,2021,4684,40,Belgium,BE,BEL,11522440,Europe
31/03/2021,31,3,2021,4704,31,Belgium,BE,BEL,11522440,Europe
30/03/2021,30,3,2021,5195,33,Belgium,BE,BEL,11522440,Europe
29/03/2021,29,3,2021,6153,31,Belgium,BE,BEL,11522440,Europe
28/03/2021,28,3,2021,1683,23,Belgium,BE,BEL,11522440,Europe
27/03/2021,27,3,2021,3056,28,Belgium,BE,BEL,11522440,Europe
26/03/2021,26,3,2021,5714,20,Belgium,BE,BEL,11522440,Europe
25/03/2021,25,3,2021,5579,34,Belgium,BE,BEL,11522440,Europe
24/03/2021,24,3,2021,5554,27,Belgium,BE,BEL,11522440,Europe
23/03/2021,23,3,2021,5997,24,Belgium,BE,BEL,11522440,Europe
22/03/2021,22,3,2021,6285,33,Belgium,BE,BEL,11522440,Europe
21/03/2021,21,3,2021,1590,24,Belgium,BE,BEL,11522440,Europe
20/03/2021,20,3,2021,2841,24,Belgium,BE,BEL,11522440,Europe
19/03/2021,19,3,2021,5197,31,Belgium,BE,BEL,11522440,Europe
18/03/2021,18,3,2021,5047,26,Belgium,BE,BEL,11522440,Europe
17/03/2021,17,3,2021,4843,25,Belgium,BE,BEL,11522440,Europe
16/03/2021,16,3,2021,4606,27,Belgium,BE,BEL,11522440,Europe
15/03/2021,15,3,2021,5279,25,Belgium,BE,BEL,11522440,Europe
14/03/2021,14,3,2021,1397,20,Belgium,BE,BEL,11522440,Europe
13/03/2021,13,3,2021,2182,24,Belgium,BE,BEL,11522440,Europe
12/03/2021,12,3,2021,3765,20,Belgium,BE,BEL,11522440,Europe
11/03/2021,11,3,2021,3515,26,Belgium,BE,BEL,11522440,Europe
10/03/2021,10,3,2021,3412,24,Belgium,BE,BEL,11522440,Europe
09/03/2021,9,3,2021,3420,23,Belgium,BE,BEL,11522440,Europe
08/03/2021,8,3,2021,3710,36,Belgium,BE,BEL,11522440,Europe
07/03/2021,7,3,2021,795,19,Belgium,BE,BEL,11522440,Europe
06/03/2021,6,3,2021,1524,25,Belgium,BE,BEL,11522440,Europe
05/03/2021,5,3,2021,2751,33,Belgium,BE,BEL,11522440,Europe
04/03/2021,4,3,2021,2708,16,Belgium,BE,BEL,11522440,Europe
03/03/2021,3,3,2021,2772,26,Belgium,BE,BEL,11522440,Europe
02/03/2021,2,3,2021,2775,25,Belgium,BE,BEL,11522440,Europe
01/03/2021,1,3,2021,776334,22276,Belgium,BE,BEL,11522440,Europe
29/04/2021,29,4,2021,1382,96,Bulgaria,BG,BGR,6951482,Europe
28/04/2021,28,4,2021,1850,81,Bulgaria,BG,BGR,6951482,Europe
27/04/2021,27,4,2021,1759,194,Bulgaria,BG,BGR,6951482,Europe
26/04/2021,26,4,2021,400,48,Bulgaria,BG,BGR,6951482,Europe
25/04/2021,25,4,2021,798,33,Bulgaria,BG,BGR,6951482,Europe
24/04/2021,24,4,2021,1708,105,Bulgaria,BG,BGR,6951482,Europe
23/04/2021,23,4,2021,1681,103,Bulgaria,BG,BGR,6951482,Europe
22/04/2021,22,4,2021,2002,100,Bulgaria,BG,BGR,6951482,Europe
21/04/2021,21,4,2021,2096,106,Bulgaria,BG,BGR,6951482,Europe
20/04/2021,20,4,2021,2434,217,Bulgaria,BG,BGR,6951482,Europe
19/04/2021,19,4,2021,418,57,Bulgaria,BG,BGR,6951482,Europe
18/04/2021,18,4,2021,1076,38,Bulgaria,BG,BGR,6951482,Europe
17/04/2021,17,4,2021,2126,121,Bulgaria,BG,BGR,6951482,Europe
16/04/2021,16,4,2021,2185,108,Bulgaria,BG,BGR,6951482,Europe
15/04/2021,15,4,2021,2517,125,Bulgaria,BG,BGR,6951482,Europe
14/04/2021,14,4,2021,2944,127,Bulgaria,BG,BGR,6951482,Europe
13/04/2021,13,4,2021,3122,201,Bulgaria,BG,BGR,6951482,Europe
12/04/2021,12,4,2021,462,67,Bulgaria,BG,BGR,6951482,Europe
11/04/2021,11,4,2021,1352,43,Bulgaria,BG,BGR,6951482,Europe
10/04/2021,10,4,2021,2803,138,Bulgaria,BG,BGR,6951482,Europe
09/04/2021,9,4,2021,2957,136,Bulgaria,BG,BGR,6951482,Europe
08/04/2021,8,4,2021,3556,116,Bulgaria,BG,BGR,6951482,Europe
07/04/2021,7,4,2021,4004,132,Bulgaria,BG,BGR,6951482,Europe
06/04/2021,6,4,2021,3860,197,Bulgaria,BG,BGR,6951482,Europe
05/04/2021,5,4,2021,740,82,Bulgaria,BG,BGR,6951482,Europe
04/04/2021,4,4,2021,1919,69,Bulgaria,BG,BGR,6951482,Europe
03/04/2021,3,4,2021,4013,125,Bulgaria,BG,BGR,6951482,Europe
02/04/2021,2,4,2021,3694,116,Bulgaria,BG,BGR,6951482,Europe
01/04/2021,1,4,2021,4207,129,Bulgaria,BG,BGR,6951482,Europe
31/03/2021,31,3,2021,5176,155,Bulgaria,BG,BGR,6951482,Europe
30/03/2021,30,3,2021,4497,203,Bulgaria,BG,BGR,6951482,Europe
29/03/2021,29,3,2021,983,60,Bulgaria,BG,BGR,6951482,Europe
28/03/2021,28,3,2021,2537,49,Bulgaria,BG,BGR,6951482,Europe
27/03/2021,27,3,2021,4129,89,Bulgaria,BG,BGR,6951482,Europe
26/03/2021,26,3,2021,3988,99,Bulgaria,BG,BGR,6951482,Europe
25/03/2021,25,3,2021,4375,106,Bulgaria,BG,BGR,6951482,Europe
24/03/2021,24,3,2021,4851,119,Bulgaria,BG,BGR,6951482,Europe
23/03/2021,23,3,2021,4467,169,Bulgaria,BG,BGR,6951482,Europe
22/03/2021,22,3,2021,943,53,Bulgaria,BG,BGR,6951482,Europe
21/03/2021,21,3,2021,2541,34,Bulgaria,BG,BGR,6951482,Europe
20/03/2021,20,3,2021,4162,115,Bulgaria,BG,BGR,6951482,Europe
19/03/2021,19,3,2021,4008,102,Bulgaria,BG,BGR,6951482,Europe
18/03/2021,18,3,2021,4201,136,Bulgaria,BG,BGR,6951482,Europe
17/03/2021,17,3,2021,4374,107,Bulgaria,BG,BGR,6951482,Europe
16/03/2021,16,3,2021,4637,187,Bulgaria,BG,BGR,6951482,Europe
15/03/2021,15,3,2021,679,51,Bulgaria,BG,BGR,6951482,Europe
14/03/2021,14,3,2021,2019,38,Bulgaria,BG,BGR,6951482,Europe
13/03/2021,13,3,2021,3159,102,Bulgaria,BG,BGR,6951482,Europe
12/03/2021,12,3,2021,3121,95,Bulgaria,BG,BGR,6951482,Europe
11/03/2021,11,3,2021,2774,97,Bulgaria,BG,BGR,6951482,Europe
10/03/2021,10,3,2021,3502,138,Bulgaria,BG,BGR,6951482,Europe
09/03/2021,9,3,2021,2995,150,Bulgaria,BG,BGR,6951482,Europe
08/03/2021,8,3,2021,497,21,Bulgaria,BG,BGR,6951482,Europe
07/03/2021,7,3,2021,1426,22,Bulgaria,BG,BGR,6951482,Europe
06/03/2021,6,3,2021,3004,65,Bulgaria,BG,BGR,6951482,Europe
05/03/2021,5,3,2021,2198,93,Bulgaria,BG,BGR,6951482,Europe
04/03/2021,4,3,2021,1154,22,Bulgaria,BG,BGR,6951482,Europe
03/03/2021,3,3,2021,2403,83,Bulgaria,BG,BGR,6951482,Europe
02/03/2021,2,3,2021,2588,117,Bulgaria,BG,BGR,6951482,Europe
01/03/2021,1,3,2021,247038,10191,Bulgaria,BG,BGR,6951482,Europe
29/04/2021,29,4,2021,2904,44,Croatia,HR,HRV,4058165,Europe
28/04/2021,28,4,2021,1797,52,Croatia,HR,HRV,4058165,Europe
27/04/2021,27,4,2021,410,51,Croatia,HR,HRV,4058165,Europe
26/04/2021,26,4,2021,1254,39,Croatia,HR,HRV,4058165,Europe
25/04/2021,25,4,2021,2535,31,Croatia,HR,HRV,4058165,Europe
24/04/2021,24,4,2021,2529,46,Croatia,HR,HRV,4058165,Europe
23/04/2021,23,4,2021,2885,46,Croatia,HR,HRV,4058165,Europe
22/04/2021,22,4,2021,3117,49,Croatia,HR,HRV,4058165,Europe
21/04/2021,21,4,2021,2106,42,Croatia,HR,HRV,4058165,Europe
20/04/2021,20,4,2021,410,39,Croatia,HR,HRV,4058165,Europe
19/04/2021,19,4,2021,1565,39,Croatia,HR,HRV,4058165,Europe
18/04/2021,18,4,2021,2627,37,Croatia,HR,HRV,4058165,Europe
17/04/2021,17,4,2021,2698,44,Croatia,HR,HRV,4058165,Europe
16/04/2021,16,4,2021,2927,43,Croatia,HR,HRV,4058165,Europe
15/04/2021,15,4,2021,3099,41,Croatia,HR,HRV,4058165,Europe
14/04/2021,14,4,2021,1936,25,Croatia,HR,HRV,4058165,Europe
13/04/2021,13,4,2021,422,25,Croatia,HR,HRV,4058165,Europe
12/04/2021,12,4,2021,1617,39,Croatia,HR,HRV,4058165,Europe
11/04/2021,11,4,2021,2535,34,Croatia,HR,HRV,4058165,Europe
10/04/2021,10,4,2021,2599,50,Croatia,HR,HRV,4058165,Europe
09/04/2021,9,4,2021,3217,36,Croatia,HR,HRV,4058165,Europe
08/04/2021,8,4,2021,1649,36,Croatia,HR,HRV,4058165,Europe
07/04/2021,7,4,2021,735,30,Croatia,HR,HRV,4058165,Europe
06/04/2021,6,4,2021,138,25,Croatia,HR,HRV,4058165,Europe
05/04/2021,5,4,2021,1376,33,Croatia,HR,HRV,4058165,Europe
04/04/2021,4,4,2021,2234,29,Croatia,HR,HRV,4058165,Europe
03/04/2021,3,4,2021,2362,29,Croatia,HR,HRV,4058165,Europe
02/04/2021,2,4,2021,2422,20,Croatia,HR,HRV,4058165,Europe
01/04/2021,1,4,2021,2623,19,Croatia,HR,HRV,4058165,Europe
31/03/2021,31,3,2021,1487,17,Croatia,HR,HRV,4058165,Europe
30/03/2021,30,3,2021,300,18,Croatia,HR,HRV,4058165,Europe
29/03/2021,29,3,2021,1321,21,Croatia,HR,HRV,4058165,Europe
28/03/2021,28,3,2021,1790,18,Croatia,HR,HRV,4058165,Europe
27/03/2021,27,3,2021,1802,16,Croatia,HR,HRV,4058165,Europe
26/03/2021,26,3,2021,1673,10,Croatia,HR,HRV,4058165,Europe
25/03/2021,25,3,2021,1891,20,Croatia,HR,HRV,4058165,Europe
24/03/2021,24,3,2021,956,22,Croatia,HR,HRV,4058165,Europe
23/03/2021,23,3,2021,150,13,Croatia,HR,HRV,4058165,Europe
22/03/2021,22,3,2021,834,20,Croatia,HR,HRV,4058165,Europe
21/03/2021,21,3,2021,1186,10,Croatia,HR,HRV,4058165,Europe
20/03/2021,20,3,2021,1112,17,Croatia,HR,HRV,4058165,Europe
19/03/2021,19,3,2021,1197,17,Croatia,HR,HRV,4058165,Europe
18/03/2021,18,3,2021,1445,12,Croatia,HR,HRV,4058165,Europe
17/03/2021,17,3,2021,691,12,Croatia,HR,HRV,4058165,Europe
16/03/2021,16,3,2021,129,8,Croatia,HR,HRV,4058165,Europe
15/03/2021,15,3,2021,561,7,Croatia,HR,HRV,4058165,Europe
14/03/2021,14,3,2021,823,23,Croatia,HR,HRV,4058165,Europe
13/03/2021,13,3,2021,823,12,Croatia,HR,HRV,4058165,Europe
12/03/2021,12,3,2021,777,10,Croatia,HR,HRV,4058165,Europe
11/03/2021,11,3,2021,962,4,Croatia,HR,HRV,4058165,Europe
10/03/2021,10,3,2021,491,12,Croatia,HR,HRV,4058165,Europe
09/03/2021,9,3,2021,94,19,Croatia,HR,HRV,4058165,Europe
08/03/2021,8,3,2021,394,5,Croatia,HR,HRV,4058165,Europe
07/03/2021,7,3,2021,658,15,Croatia,HR,HRV,4058165,Europe
06/03/2021,6,3,2021,590,6,Croatia,HR,HRV,4058165,Europe
05/03/2021,5,3,2021,667,9,Croatia,HR,HRV,4058165,Europe
04/03/2021,4,3,2021,747,7,Croatia,HR,HRV,4058165,Europe
03/03/2021,3,3,2021,394,11,Croatia,HR,HRV,4058165,Europe
02/03/2021,2,3,2021,91,11,Croatia,HR,HRV,4058165,Europe
01/03/2021,1,3,2021,242973,5526,Croatia,HR,HRV,4058165,Europe
29/04/2021,29,4,2021,845,3,Cyprus,CY,CYP,888005,Europe
28/04/2021,28,4,2021,760,2,Cyprus,CY,CYP,888005,Europe
27/04/2021,27,4,2021,611,3,Cyprus,CY,CYP,888005,Europe
26/04/2021,26,4,2021,773,0,Cyprus,CY,CYP,888005,Europe
25/04/2021,25,4,2021,895,1,Cyprus,CY,CYP,888005,Europe
24/04/2021,24,4,2021,889,1,Cyprus,CY,CYP,888005,Europe
23/04/2021,23,4,2021,927,1,Cyprus,CY,CYP,888005,Europe
22/04/2021,22,4,2021,843,0,Cyprus,CY,CYP,888005,Europe
21/04/2021,21,4,2021,941,1,Cyprus,CY,CYP,888005,Europe
20/04/2021,20,4,2021,822,3,Cyprus,CY,CYP,888005,Europe
19/04/2021,19,4,2021,852,3,Cyprus,CY,CYP,888005,Europe
18/04/2021,18,4,2021,786,4,Cyprus,CY,CYP,888005,Europe
17/04/2021,17,4,2021,677,1,Cyprus,CY,CYP,888005,Europe
16/04/2021,16,4,2021,690,6,Cyprus,CY,CYP,888005,Europe
15/04/2021,15,4,2021,602,3,Cyprus,CY,CYP,888005,Europe
14/04/2021,14,4,2021,619,1,Cyprus,CY,CYP,888005,Europe
13/04/2021,13,4,2021,528,1,Cyprus,CY,CYP,888005,Europe
12/04/2021,12,4,2021,470,0,Cyprus,CY,CYP,888005,Europe
11/04/2021,11,4,2021,446,4,Cyprus,CY,CYP,888005,Europe
10/04/2021,10,4,2021,601,0,Cyprus,CY,CYP,888005,Europe
09/04/2021,9,4,2021,622,2,Cyprus,CY,CYP,888005,Europe
08/04/2021,8,4,2021,529,2,Cyprus,CY,CYP,888005,Europe
07/04/2021,7,4,2021,559,2,Cyprus,CY,CYP,888005,Europe
06/04/2021,6,4,2021,565,1,Cyprus,CY,CYP,888005,Europe
05/04/2021,5,4,2021,431,0,Cyprus,CY,CYP,888005,Europe
04/04/2021,4,4,2021,404,0,Cyprus,CY,CYP,888005,Europe
03/04/2021,3,4,2021,705,1,Cyprus,CY,CYP,888005,Europe
02/04/2021,2,4,2021,309,4,Cyprus,CY,CYP,888005,Europe
01/04/2021,1,4,2021,434,0,Cyprus,CY,CYP,888005,Europe
31/03/2021,31,3,2021,439,2,Cyprus,CY,CYP,888005,Europe
30/03/2021,30,3,2021,360,2,Cyprus,CY,CYP,888005,Europe
29/03/2021,29,3,2021,326,2,Cyprus,CY,CYP,888005,Europe
28/03/2021,28,3,2021,334,2,Cyprus,CY,CYP,888005,Europe
27/03/2021,27,3,2021,361,0,Cyprus,CY,CYP,888005,Europe
26/03/2021,26,3,2021,324,0,Cyprus,CY,CYP,888005,Europe
25/03/2021,25,3,2021,293,2,Cyprus,CY,CYP,888005,Europe
24/03/2021,24,3,2021,365,1,Cyprus,CY,CYP,888005,Europe
23/03/2021,23,3,2021,410,2,Cyprus,CY,CYP,888005,Europe
22/03/2021,22,3,2021,336,1,Cyprus,CY,CYP,888005,Europe
21/03/2021,21,3,2021,407,1,Cyprus,CY,CYP,888005,Europe
20/03/2021,20,3,2021,364,0,Cyprus,CY,CYP,888005,Europe
19/03/2021,19,3,2021,385,0,Cyprus,CY,CYP,888005,Europe
18/03/2021,18,3,2021,382,0,Cyprus,CY,CYP,888005,Europe
17/03/2021,17,3,2021,475,1,Cyprus,CY,CYP,888005,Europe
16/03/2021,16,3,2021,218,0,Cyprus,CY,CYP,888005,Europe
15/03/2021,15,3,2021,374,2,Cyprus,CY,CYP,888005,Europe
14/03/2021,14,3,2021,398,0,Cyprus,CY,CYP,888005,Europe
13/03/2021,13,3,2021,383,2,Cyprus,CY,CYP,888005,Europe
12/03/2021,12,3,2021,431,1,Cyprus,CY,CYP,888005,Europe
11/03/2021,11,3,2021,415,2,Cyprus,CY,CYP,888005,Europe
10/03/2021,10,3,2021,420,0,Cyprus,CY,CYP,888005,Europe
09/03/2021,9,3,2021,352,0,Cyprus,CY,CYP,888005,Europe
08/03/2021,8,3,2021,303,1,Cyprus,CY,CYP,888005,Europe
07/03/2021,7,3,2021,298,0,Cyprus,CY,CYP,888005,Europe
06/03/2021,6,3,2021,273,0,Cyprus,CY,CYP,888005,Europe
05/03/2021,5,3,2021,384,0,Cyprus,CY,CYP,888005,Europe
04/03/2021,4,3,2021,323,0,Cyprus,CY,CYP,888005,Europe
03/03/2021,3,3,2021,288,1,Cyprus,CY,CYP,888005,Europe
02/03/2021,2,3,2021,302,0,Cyprus,CY,CYP,888005,Europe
01/03/2021,1,3,2021,34707,231,Cyprus,CY,CYP,888005,Europe
29/04/2021,29,4,2021,2503,72,Czechia,CZ,CZE,10693939,Europe
28/04/2021,28,4,2021,3256,66,Czechia,CZ,CZE,10693939,Europe
27/04/2021,27,4,2021,2571,73,Czechia,CZ,CZE,10693939,Europe
26/04/2021,26,4,2021,2130,56,Czechia,CZ,CZE,10693939,Europe
25/04/2021,25,4,2021,8,26,Czechia,CZ,CZE,10693939,Europe
24/04/2021,24,4,2021,2607,57,Czechia,CZ,CZE,10693939,Europe
23/04/2021,23,4,2021,2629,76,Czechia,CZ,CZE,10693939,Europe
22/04/2021,22,4,2021,2971,76,Czechia,CZ,CZE,10693939,Europe
21/04/2021,21,4,2021,3831,71,Czechia,CZ,CZE,10693939,Europe
20/04/2021,20,4,2021,3319,108,Czechia,CZ,CZE,10693939,Europe
19/04/2021,19,4,2021,2364,106,Czechia,CZ,CZE,10693939,Europe
18/04/2021,18,4,2021,6,30,Czechia,CZ,CZE,10693939,Europe
17/04/2021,17,4,2021,3238,79,Czechia,CZ,CZE,10693939,Europe
16/04/2021,16,4,2021,3256,88,Czechia,CZ,CZE,10693939,Europe
15/04/2021,15,4,2021,3723,105,Czechia,CZ,CZE,10693939,Europe
14/04/2021,14,4,2021,5087,86,Czechia,CZ,CZE,10693939,Europe
13/04/2021,13,4,2021,3853,120,Czechia,CZ,CZE,10693939,Europe
12/04/2021,12,4,2021,995,110,Czechia,CZ,CZE,10693939,Europe
11/04/2021,11,4,2021,2217,74,Czechia,CZ,CZE,10693939,Europe
10/04/2021,10,4,2021,4819,117,Czechia,CZ,CZE,10693939,Europe
09/04/2021,9,4,2021,5305,151,Czechia,CZ,CZE,10693939,Europe
08/04/2021,8,4,2021,7071,137,Czechia,CZ,CZE,10693939,Europe
07/04/2021,7,4,2021,5532,160,Czechia,CZ,CZE,10693939,Europe
06/04/2021,6,4,2021,1425,112,Czechia,CZ,CZE,10693939,Europe
05/04/2021,5,4,2021,1924,112,Czechia,CZ,CZE,10693939,Europe
04/04/2021,4,4,2021,2162,78,Czechia,CZ,CZE,10693939,Europe
03/04/2021,3,4,2021,3869,102,Czechia,CZ,CZE,10693939,Europe
02/04/2021,2,4,2021,6248,179,Czechia,CZ,CZE,10693939,Europe
01/04/2021,1,4,2021,7285,165,Czechia,CZ,CZE,10693939,Europe
31/03/2021,31,3,2021,8664,199,Czechia,CZ,CZE,10693939,Europe
30/03/2021,30,3,2021,6896,85,Czechia,CZ,CZE,10693939,Europe
29/03/2021,29,3,2021,5719,263,Czechia,CZ,CZE,10693939,Europe
28/03/2021,28,3,2021,7699,96,Czechia,CZ,CZE,10693939,Europe
27/03/2021,27,3,2021,47,139,Czechia,CZ,CZE,10693939,Europe
26/03/2021,26,3,2021,7946,189,Czechia,CZ,CZE,10693939,Europe
25/03/2021,25,3,2021,8851,192,Czechia,CZ,CZE,10693939,Europe
24/03/2021,24,3,2021,10972,203,Czechia,CZ,CZE,10693939,Europe
23/03/2021,23,3,2021,8205,245,Czechia,CZ,CZE,10693939,Europe
22/03/2021,22,3,2021,2373,143,Czechia,CZ,CZE,10693939,Europe
21/03/2021,21,3,2021,5554,137,Czechia,CZ,CZE,10693939,Europe
20/03/2021,20,3,2021,9710,199,Czechia,CZ,CZE,10693939,Europe
19/03/2021,19,3,2021,10677,214,Czechia,CZ,CZE,10693939,Europe
18/03/2021,18,3,2021,12028,215,Czechia,CZ,CZE,10693939,Europe
17/03/2021,17,3,2021,14029,245,Czechia,CZ,CZE,10693939,Europe
16/03/2021,16,3,2021,10542,278,Czechia,CZ,CZE,10693939,Europe
15/03/2021,15,3,2021,3342,153,Czechia,CZ,CZE,10693939,Europe
14/03/2021,14,3,2021,6970,143,Czechia,CZ,CZE,10693939,Europe
13/03/2021,13,3,2021,15110,218,Czechia,CZ,CZE,10693939,Europe
12/03/2021,12,3,2021,11274,241,Czechia,CZ,CZE,10693939,Europe
11/03/2021,11,3,2021,14529,239,Czechia,CZ,CZE,10693939,Europe
10/03/2021,10,3,2021,15380,238,Czechia,CZ,CZE,10693939,Europe
09/03/2021,9,3,2021,10524,265,Czechia,CZ,CZE,10693939,Europe
08/03/2021,8,3,2021,3960,165,Czechia,CZ,CZE,10693939,Europe
07/03/2021,7,3,2021,9167,159,Czechia,CZ,CZE,10693939,Europe
06/03/2021,6,3,2021,13162,233,Czechia,CZ,CZE,10693939,Europe
